CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/12/2015,6:15,QUEENS,11373,40.746417,-73.8834015,"(40.746417, -73.8834015)",ITHACA STREET                   ,BAXTER AVENUE                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3351713,BICYCLE,PASSENGER VEHICLE,,,
12/10/2015,20:32,BROOKLYN,11232,40.6551851,-73.9998378,"(40.6551851, -73.9998378)",5 AVENUE                        ,32 STREET                       ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3350974,BICYCLE,SPORT UTILITY / STATION WAGON,,,
11/28/2015,19:30,MANHATTAN,10016,40.7476845,-73.9787861,"(40.7476845, -73.9787861)",EAST 36 STREET                  ,LEXINGTON AVENUE                ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3343820,BICYCLE,UNKNOWN,,,
11/18/2015,10:00,MANHATTAN,10009,40.7306541,-73.9830707,"(40.7306541, -73.9830707)",1 AVENUE                        ,EAST 13 STREET                  ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3337196,BICYCLE,TAXI,,,
11/04/2015,16:20,MANHATTAN,10016,40.7488862,-73.9758407,"(40.7488862, -73.9758407)",EAST 39 STREET                  ,3 AVENUE                        ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3327807,BICYCLE,VAN,,,
11/16/2015,7:45,MANHATTAN,10016,40.7469395,-73.9731924,"(40.7469395, -73.9731924)",EAST 38 STREET                  ,QUEENS MIDTOWN TUNNEL APPROACH  ,,1,0,0,0,0,0,1,0,Other Vehicular,Driver Inattention/Distraction,,,,3337930,BICYCLE,UNKNOWN,,,
11/15/2015,20:50,,,,,,GRAND STREET                    ,METROPOLITAN AVENUE             ,,1,0,0,0,1,0,0,0,Passenger Distraction,Driver Inattention/Distraction,,,,3340137,BICYCLE,UNKNOWN,,,
11/06/2015,10:26,MANHATTAN,10018,40.7517013,-73.9864003,"(40.7517013, -73.9864003)",6 AVENUE                        ,WEST 37 STREET                  ,,1,0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,,,,3344354,BICYCLE,TAXI,,,
11/01/2015,22:15,QUEENS,11103,40.7621106,-73.9065094,"(40.7621106, -73.9065094)",49 STREET                       ,28 AVENUE                       ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3328487,BICYCLE,,,,
11/02/2015,18:30,,,,,,WHITE STREET                    ,BOERUM STREET                   ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3328237,BICYCLE,UNKNOWN,,,
11/18/2015,13:50,MANHATTAN,10038,40.7079122,-74.0001298,"(40.7079122, -74.0001298)",SOUTH STREET                    ,DOVER STREET                    ,,1,0,0,0,1,0,0,0,Unspecified,,,,,3336548,BICYCLE,UNKNOWN,,,
11/06/2015,19:39,BROOKLYN,11211,40.7179102,-73.9533993,"(40.7179102, -73.9533993)",ROEBLING STREET                 ,NORTH 10 STREET                 ,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3330157,BICYCLE,UNKNOWN,,,
10/30/2015,19:10,BROOKLYN,11211,40.71076,-73.9531302,"(40.71076, -73.9531302)",BORINQUEN PLACE                 ,SOUTH 1 STREET                  ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3325636,BICYCLE,UNKNOWN,,,
11/04/2015,13:50,QUEENS,11365,40.7419329,-73.7969515,"(40.7419329, -73.7969515)",FRESH MEADOW LANE               ,BOOTH MEMORIAL AVENUE           ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3329119,BICYCLE,UNKNOWN,,,
10/31/2015,4:55,BROOKLYN,11206,40.7027611,-73.9454502,"(40.7027611, -73.9454502)",BROADWAY                        ,GERRY STREET                    ,,1,0,0,0,1,0,0,0,Illness,Unspecified,,,,3326283,BICYCLE,UNKNOWN,,,
11/01/2015,17:40,MANHATTAN,10033,40.8498946,-73.933311,"(40.8498946, -73.933311)",SAINT NICHOLAS AVENUE           ,WEST 182 STREET                 ,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3327272,BICYCLE,UNKNOWN,,,
11/04/2015,23:27,,,,,,WOODHAVEN BOULEVARD             ,UNION TURNPIKE                  ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3329006,BICYCLE,UNKNOWN,,,
11/05/2015,8:20,QUEENS,11106,40.7682575,-73.9320245,"(40.7682575, -73.9320245)",31 AVENUE                       ,14 STREET                       ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3330279,BICYCLE,UNKNOWN,,,
11/08/2015,3:04,BROOKLYN,11206,40.7077544,-73.946658,"(40.7077544, -73.946658)",MESEROLE STREET                 ,LEONARD STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Outside Car Distraction,Unspecified,,,3331921,BICYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
11/18/2015,20:30,BROOKLYN,11249,40.7163843,-73.9614231,"(40.7163843, -73.9614231)",NORTH 3 STREET                  ,BERRY STREET                    ,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,3340875,BICYCLE,UNKNOWN,,,
11/11/2015,15:50,BROOKLYN,11201,40.6892445,-73.9887208,"(40.6892445, -73.9887208)",STATE STREET                    ,SMITH STREET                    ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3332555,BICYCLE,SPORT UTILITY / STATION WAGON,,,
10/26/2015,21:30,MANHATTAN,10028,40.7761962,-73.9498707,"(40.7761962, -73.9498707)",1 AVENUE                        ,EAST 85 STREET                  ,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3322925,BICYCLE,UNKNOWN,,,
10/07/2015,12:05,,,,,,GRAND STREET                    ,METROPOLITAN AVENUE             ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3311978,BICYCLE,UNKNOWN,,,
10/07/2015,7:20,MANHATTAN,10033,40.8478395,-73.9395227,"(40.8478395, -73.9395227)",WEST 177 STREET                 ,FORT WASHINGTON AVENUE          ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3314863,BICYCLE,TAXI,,,
10/24/2015,15:25,,,,,,CONEY ISLAND AVENUE             ,CORTELYOU ROAD                  ,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,3323141,BICYCLE,SPORT UTILITY / STATION WAGON,,,
10/26/2015,17:05,BROOKLYN,11222,40.731153,-73.9517808,"(40.731153, -73.9517808)",MC GUINNESS BOULEVARD           ,KENT STREET                     ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3323401,BICYCLE,PASSENGER VEHICLE,,,
10/12/2015,16:26,BROOKLYN,11205,40.6910174,-73.9544675,"(40.6910174, -73.9544675)",DEKALB AVENUE                   ,SPENCER COURT                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3314310,BICYCLE,UNKNOWN,,,
10/20/2015,15:00,QUEENS,11691,40.6045677,-73.7535377,"(40.6045677, -73.7535377)",MOTT AVENUE                     ,BEACH 21 STREET                 ,,1,0,0,0,1,0,0,0,Glare,Unspecified,,,,3319030,BICYCLE,VAN,,,
10/23/2015,23:00,MANHATTAN,10010,40.7410276,-73.9941612,"(40.7410276, -73.9941612)",WEST 20 STREET                  ,AVENUE OF THE AMERICAS          ,,1,0,0,0,1,0,0,0,Lost Consciousness,Driver Inattention/Distraction,,,,3321411,BICYCLE,LIVERY VEHICLE,,,
10/07/2015,11:30,MANHATTAN,10025,40.8055091,-73.9620072,"(40.8055091, -73.9620072)",AMSTERDAM AVENUE                ,WEST 114 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3310456,BICYCLE,VAN,,,
10/01/2015,20:25,BROOKLYN,11206,40.6973167,-73.9322699,"(40.6973167, -73.9322699)",BUSHWICK AVENUE                 ,MYRTLE AVENUE                   ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3307544,BICYCLE,PASSENGER VEHICLE,,,
10/04/2015,15:28,BROOKLYN,11206,40.7066527,-73.9504063,"(40.7066527, -73.9504063)",UNION AVENUE                    ,MONTROSE AVENUE                 ,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3309399,BICYCLE,SPORT UTILITY / STATION WAGON,,,
09/30/2015,18:00,BROOKLYN,11220,40.6467885,-74.0085693,"(40.6467885, -74.0085693)",47 STREET                       ,5 AVENUE                        ,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,Unspecified,,,3306252,BICYCLE,SPORT UTILITY / STATION WAGON,VAN,,
10/05/2015,8:50,,,,,,FLUSHING AVENUE                 ,54 STREET                       ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3309442,BICYCLE,SPORT UTILITY / STATION WAGON,,,
09/17/2015,15:30,BROOKLYN,11203,40.6614962,-73.9398863,"(40.6614962, -73.9398863)",ALBANY AVENUE                   ,MAPLE STREET                    ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3299573,BICYCLE,,,,
09/08/2015,16:00,BROOKLYN,11229,40.6040288,-73.952294,"(40.6040288, -73.952294)",OCEAN AVENUE                    ,AVENUE S                        ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3293073,BICYCLE,UNKNOWN,,,
09/08/2015,1:15,BROOKLYN,11214,40.6014311,-74.0051388,"(40.6014311, -74.0051388)",CROPSEY AVENUE                  ,19 AVENUE                       ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3292269,BICYCLE,UNKNOWN,,,
09/24/2015,18:12,MANHATTAN,10037,40.8094965,-73.9358079,"(40.8094965, -73.9358079)",PARK AVENUE                     ,EAST 132 STREET                 ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3303144,BICYCLE,UNKNOWN,,,
09/08/2015,17:00,,,,,,PARK AVENUE                     ,WAVERLY AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3295277,BICYCLE,SPORT UTILITY / STATION WAGON,,,
09/11/2015,22:45,MANHATTAN,10022,40.7580073,-73.9662395,"(40.7580073, -73.9662395)",EAST 55 STREET                  ,2 AVENUE                        ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Illness,,,,3294989,BICYCLE,TAXI,,,
09/30/2015,22:00,MANHATTAN,10075,40.7700733,-73.9513989,"(40.7700733, -73.9513989)",YORK AVENUE                     ,EAST 77 STREET                  ,,1,0,0,0,1,0,0,0,Illness,Unspecified,,,,3307247,BICYCLE,TAXI,,,
09/23/2015,19:15,BROOKLYN,11206,40.7116424,-73.9439099,"(40.7116424, -73.9439099)",GRAND STREET                    ,GRAHAM AVENUE                   ,,1,0,0,0,1,0,0,0,Prescription Medication,Unspecified,,,,3302290,BICYCLE,PASSENGER VEHICLE,,,
09/06/2015,2:22,MANHATTAN,10065,40.7614858,-73.9605992,"(40.7614858, -73.9605992)",EAST 62 STREET                  ,1 AVENUE                        ,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3290994,BICYCLE,PASSENGER VEHICLE,,,
09/05/2015,11:55,BROOKLYN,11233,40.6831597,-73.9380784,"(40.6831597, -73.9380784)",HALSEY STREET                   ,MARCUS GARVEY BOULEVARD         ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3290719,BICYCLE,SCOOTER,,,
09/18/2015,11:23,QUEENS,11379,40.7155453,-73.8992627,"(40.7155453, -73.8992627)",ELIOT AVENUE                    ,63 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3299711,BICYCLE,PASSENGER VEHICLE,,,
09/26/2015,14:45,BROOKLYN,11212,40.6572284,-73.9007564,"(40.6572284, -73.9007564)",LINDEN BOULEVARD                ,POWELL STREET                   ,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,3303813,BICYCLE,PASSENGER VEHICLE,,,
09/08/2015,11:45,BROOKLYN,11234,40.6073017,-73.9197094,"(40.6073017, -73.9197094)",FLATBUSH AVENUE                 ,HENDRICKSON PLACE               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3293095,BICYCLE,PASSENGER VEHICLE,,,
09/09/2015,9:40,BROOKLYN,11207,40.6822348,-73.909275,"(40.6822348, -73.909275)",BROADWAY                        ,PILLING STREET                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3297036,BICYCLE,PASSENGER VEHICLE,,,
09/19/2015,20:26,BROOKLYN,11238,40.6817416,-73.958584,"(40.6817416, -73.958584)",FULTON STREET                   ,CLASSON AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3300311,BICYCLE,UNKNOWN,,,
09/18/2015,17:00,BRONX,10453,40.8531497,-73.9056006,"(40.8531497, -73.9056006)",EAST BURNSIDE AVENUE            ,MORRIS AVENUE                   ,,1,0,0,0,1,0,0,0,Prescription Medication,Unspecified,,,,3300846,BICYCLE,PASSENGER VEHICLE,,,
09/11/2015,13:05,BROOKLYN,11206,40.6997906,-73.9500905,"(40.6997906, -73.9500905)",FLUSHING AVENUE                 ,MARCY AVENUE                    ,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3294684,BICYCLE,UNKNOWN,,,
09/23/2015,20:30,BROOKLYN,11213,40.6691002,-73.9366568,"(40.6691002, -73.9366568)",TROY AVENUE                     ,EASTERN PARKWAY                 ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3305589,BICYCLE,UNKNOWN,,,
09/29/2015,13:45,BROOKLYN,11216,40.6813715,-73.9406183,"(40.6813715, -73.9406183)",MACDONOUGH STREET               ,THROOP AVENUE                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3305604,BICYCLE,UNKNOWN,,,
09/24/2015,16:40,,,,,,SEIGEL STREET                   ,BUSHWICK AVENUE                 ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3302817,BICYCLE,PASSENGER VEHICLE,,,
09/23/2015,17:00,BROOKLYN,11223,40.5906483,-73.9692981,"(40.5906483, -73.9692981)",AVENUE X                        ,EAST 1 STREET                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3303260,BICYCLE,UNKNOWN,,,
09/24/2015,13:50,MANHATTAN,10017,40.7536248,-73.9694324,"(40.7536248, -73.9694324)",EAST 48 STREET                  ,2 AVENUE                        ,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,3302504,BICYCLE,VAN,,,
09/26/2015,22:21,BROOKLYN,11223,40.6092524,-73.9690411,"(40.6092524, -73.9690411)",EAST 5 STREET                   ,AVENUE P                        ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3306153,BICYCLE,UNKNOWN,,,
09/16/2015,6:18,,,,,,QUEENS PLAZA NORTH              ,21 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3297900,BICYCLE,,,,
08/19/2015,14:00,BROOKLYN,11226,40.6515314,-73.9630211,"(40.6515314, -73.9630211)",CATON AVENUE                    ,SAINT PAULS PLACE               ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3280503,BICYCLE,UNKNOWN,,,
09/04/2015,11:30,MANHATTAN,10023,40.7810254,-73.9813103,"(40.7810254, -73.9813103)",BROADWAY                        ,WEST 75 STREET                  ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3290535,BICYCLE,TAXI,,,
08/29/2015,20:20,MANHATTAN,10002,40.7169248,-73.9832149,"(40.7169248, -73.9832149)",DELANCEY STREET                 ,PITT STREET                     ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3286205,BICYCLE,OTHER,,,
08/16/2015,14:20,MANHATTAN,10012,40.7241363,-73.9926041,"(40.7241363, -73.9926041)",EAST HOUSTON STREET             ,BOWERY                          ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3278880,BICYCLE,TAXI,,,
08/23/2015,22:10,BROOKLYN,11220,40.6470298,-74.0119963,"(40.6470298, -74.0119963)",49 STREET                       ,4 AVENUE                        ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3284066,BICYCLE,PASSENGER VEHICLE,,,
08/13/2015,20:48,BROOKLYN,11201,40.6897305,-73.9901667,"(40.6897305, -73.9901667)",BOERUM PLACE                    ,STATE STREET                    ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3278093,BICYCLE,SPORT UTILITY / STATION WAGON,,,
