CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/10/2020,0:35,BROOKLYN,11230,40.61462,-73.968666,"(40.61462, -73.968666)",OCEAN PARKWAY                   ,AVENUE N,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4346641,Sedan,Bike,,,
09/23/2020,19:47,BRONX,10453,40.85352,-73.902725,"(40.85352, -73.902725)",GRAND CONCOURSE                 ,EAST 180 STREET,,0,1,0,0,0,1,0,0,Unspecified,,,,,4351821,E-Bike,,,,
09/04/2020,9:32,,,40.8252,-73.867714,"(40.8252, -73.867714)",BRUCKNER BOULEVARD              ,ROSEDALE AVENUE,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4344891,Sedan,Bike,,,
10/03/2020,7:40,BROOKLYN,11220,40.644455,-74.0183,"(40.644455, -74.0183)",3 AVENUE                        ,56 STREET,,1,1,0,0,0,1,1,0,Unsafe Speed,Traffic Control Disregarded,,,,4354880,Motorcycle,Bike,,,
09/07/2020,0:35,BROOKLYN,11249,40.70113,-73.96087,"(40.70113, -73.96087)",WILLIAMSBURG STREET EAST        ,WYTHE AVENUE,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4345623,Bus,Bike,,,
09/02/2020,23:23,QUEENS,11377,40.756996,-73.90784,"(40.756996, -73.90784)",31 AVENUE                       ,51 STREET,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4344340,Bus,Bike,,,
07/10/2020,10:12,,,40.634815,-73.901276,"(40.634815, -73.901276)",,,AVENUE L                                ,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4328970,Taxi,Bike,,,
08/15/2020,5:41,MANHATTAN,10032,40.833843,-73.94851,"(40.833843, -73.94851)",WEST 155 STREET                 ,RIVERSIDE DRIVE,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4338478,Sedan,Bike,,,
08/07/2020,14:30,BRONX,10472,40.8344,-73.87276,"(40.8344, -73.87276)",EAST 174 STREET                 ,FTELEY AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4336574,Station Wagon/Sport Utility Vehicle,Bike,,,
06/11/2020,16:53,,,40.812622,-73.92934,"(40.812622, -73.92934)",PARK AVENUE                     ,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4319421,Box Truck,Bike,,,
