CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/17/2018,18:35,BRONX,10469,40.85963,-73.84454,"(40.85963, -73.84454)",ASTOR AVENUE                    ,FENTON AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,3867107,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
02/16/2018,8:46,BROOKLYN,11219,40.635445,-73.99431,"(40.635445, -73.99431)",,,1215      50 STREET                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3849418,Station Wagon/Sport Utility Vehicle,Refrigerated Van,Bike,,
02/02/2018,20:50,QUEENS,11103,40.76502,-73.9174,"(40.76502, -73.9174)",36 STREET                       ,30 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3839611,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
02/08/2018,21:20,BROOKLYN,11226,40.65264,-73.949776,"(40.65264, -73.949776)",LINDEN BOULEVARD                ,NOSTRAND AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,3844686,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
01/30/2018,8:45,MANHATTAN,10010,40.73992,-73.98658,"(40.73992, -73.98658)",,,300       PARK AVENUE SOUTH             ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3837479,Pick-up Truck,Pick-up Truck,Bike,,
02/06/2018,18:04,MANHATTAN,10011,40.74581,-74.00554,"(40.74581, -74.00554)",10 AVENUE                       ,WEST 20 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,Unspecified,,,3841884,Taxi,Sedan,Bike,,
01/10/2018,8:30,BROOKLYN,11222,40.72671,-73.952484,"(40.72671, -73.952484)",,,761       MANHATTAN AVENUE              ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Oversized Vehicle,Unspecified,,,3825905,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Bike,,
12/08/2017,7:10,BROOKLYN,11238,40.671627,-73.96263,"(40.671627, -73.96263)",WASHINGTON AVENUE               ,EASTERN PARKWAY,,2,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,Unspecified,,3805270,Sedan,Station Wagon/Sport Utility Vehicle,Bike,Station Wagon/Sport Utility Vehicle,
12/18/2017,17:30,BROOKLYN,11217,40.680584,-73.9809,"(40.680584, -73.9809)",4 AVENUE                        ,BALTIC STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,3812741,Sedan,Sedan,Bike,,
12/01/2017,20:25,BROOKLYN,11211,40.719246,-73.95407,"(40.719246, -73.95407)",DRIGGS AVENUE                   ,NORTH 11 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,3801655,Taxi,Sedan,Bike,,
