CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/03/2013,11:20,,,,,,PARK AVENUE                     ,WASHINGTON AVENUE               ,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,193516,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BICYCLE,
11/05/2013,22:23,BROOKLYN,11230,40.633111,-73.9721609,"(40.633111, -73.9721609)",OCEAN PARKWAY                   ,18 AVENUE                       ,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Unspecified,,,151365,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
11/06/2013,15:45,MANHATTAN,10017,40.7560314,-73.9790253,"(40.7560314, -73.9790253)",5 AVENUE                        ,WEST 46 STREET                  ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,43426,TAXI,LIVERY VEHICLE,BICYCLE,,
10/08/2013,17:30,MANHATTAN,10019,40.7614228,-73.9840484,"(40.7614228, -73.9840484)",WEST 50 STREET                  ,BROADWAY                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,43031,UNKNOWN,PASSENGER VEHICLE,BICYCLE,,
10/11/2013,22:26,,,,,,BAY RIDGE PARKWAY               ,7 AVENUE                        ,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,Unspecified,,,143699,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
10/19/2013,10:25,MANHATTAN,10016,40.7466818,-73.9744953,"(40.7466818, -73.9744953)",2 AVENUE                        ,EAST 37 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,36437,PASSENGER VEHICLE,TAXI,BICYCLE,,
10/23/2013,19:00,BROOKLYN,11233,40.672196,-73.9113219,"(40.672196, -73.9113219)",PROSPECT PLACE                  ,ROCKAWAY AVENUE                 ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,162639,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
09/16/2013,14:11,BRONX,10466,40.9018388,-73.8454717,"(40.9018388, -73.8454717)",EAST 241 STREET                 ,WILDER AVENUE                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,98478,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
09/26/2013,11:15,,,,,,94 STREET                       ,JAMAICA AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,207257,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
10/06/2013,18:47,MANHATTAN,10023,40.7729916,-73.9820779,"(40.7729916, -73.9820779)",WEST 65 STREET                  ,COLUMBUS AVENUE                 ,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,Unspecified,,,54611,TAXI,TAXI,BICYCLE,,
